facility,blood_pressure_controlled
Aluminium,6.2409288824383164
Argon,7.352941176470589
Beryllium,8.296296296296296
Boron,4.363001745200698
Calcium,4.166666666666666
Carbon,6.890459363957597
Chlorine,5.335365853658536
Chromium,6.59536541889483
Cobalt,7.0588235294117645
Copper,6.030150753768844
Fluorine,6.359300476947535
Helium,4.529616724738676
Hydrogen,7.06896551724138
Iron,5.113636363636364
Lithium,5.621805792163544
Magnesium,5.893186003683241
Manganese,6.289308176100629
Neon,6.8471337579617835
Nickel,5.863708399366086
Nitrogen,6.63265306122449
Oxygen,7.210031347962382
Phosphorus,5.799373040752351
Potassium,6.506849315068493
Scandium,4.906937394247039
Silicon,6.172839506172839
Sodium,7.64525993883792
Sulfur,5.1194539249146755
Titanium,7.15372907153729
Vanadium,4.8964218455743875
Zinc,6.174698795180722
